time,0,3600,7200,10800,14400,18000,21600,25200,28800,32400,36000,39600,43200,46800,50400,54000,57600,61200,64800,68400,72000,75600,79200,82800,86400
205,110.70312,110.682655,110.66218,110.641716,110.50197,110.05633,110.02051,110.19271,110.37507,110.41245,110.44727,110.09447,110.276825,110.37154,110.29375,110.209274,109.76364,109.72781,109.69199,110.01074,110.1126,110.14742,110.126945,110.10648,110.086006
206,110.70038,110.67992,110.65945,110.63898,110.49817,110.04885,110.01304,110.18704,110.37128,110.40922,110.444534,110.0888,110.27303,110.368805,110.2905,110.20548,109.75616,109.72034,109.684525,110.006355,110.10937,110.144684,110.124214,110.103745,110.08328
207,109.697655,109.677185,109.656715,109.636246,109.49438,109.04138,109.00556,109.18138,109.36748,109.40597,109.4418,109.08314,109.26923,109.36607,109.287254,109.2017,108.74869,108.71287,108.677055,109.001976,109.10612,109.14195,109.12148,109.10101,109.08055
208,110.6244,110.60393,110.583466,110.562996,110.39056,109.82772,109.7919,110.02227,110.26366,110.31807,110.36855,109.92403,110.165405,110.292816,110.19935,110.09787,109.53503,109.49921,109.46339,109.88098,110.01822,110.068695,110.04823,110.02776,110.0073
209,110.63533,110.61487,110.5944,110.57394,110.405914,109.85875,109.82294,110.04556,110.27902,110.33113,110.379486,109.94732,110.18078,110.30376,110.21242,110.113235,109.56606,109.53025,109.49443,109.89881,110.03128,110.079636,110.059166,110.038704,110.018234
210,110.63617,110.6157,110.59524,110.57476,110.40708,109.86109,109.82527,110.04732,110.28018,110.33212,110.38032,109.949066,110.18194,110.30459,110.21341,110.114395,109.568405,109.532585,109.496765,109.90016,110.032265,110.08047,110.060005,110.03953,110.019066
211,109.637,109.61652,109.59606,109.5756,109.40825,108.86343,108.82761,109.04907,109.28135,109.33311,109.38116,108.95083,109.1831,109.30542,109.2144,109.11556,108.57074,108.53492,108.4991,108.90151,109.03326,109.08129,109.06083,109.04037,109.01989
212,109.637825,109.61736,109.59689,109.57642,109.40942,108.86576,108.82994,109.05083,109.28251,109.33411,109.38198,108.95258,109.184265,109.306244,109.215385,109.11672,108.573074,108.537254,108.501434,108.902855,109.03425,109.08213,109.06166,109.04119,109.02072
213,110.638664,110.61819,110.597725,110.577255,110.410576,109.868095,109.832275,110.05259,110.28367,110.33509,110.38281,109.954346,110.185425,110.30708,110.21637,110.11789,109.57541,109.53959,109.50377,109.904205,110.03524,110.08296,110.06249,110.04202,110.02156
214,109.63949,109.61902,109.59856,109.57808,109.411736,108.87043,108.83461,109.054344,109.284836,109.33609,109.38364,108.9561,109.18659,109.307915,109.21737,109.11905,108.57774,108.54192,108.5061,108.905556,109.036224,109.083786,109.063324,109.04285,109.022385
215,109.64032,109.61986,109.59938,109.57892,109.4129,108.872765,108.836945,109.05611,109.285995,109.337074,109.384476,108.957855,109.18775,109.30874,109.21835,109.12021,108.58008,108.54426,108.50844,108.906906,109.037224,109.084625,109.06415,109.043686,109.02322
216,108.64114,108.62068,108.60021,108.57975,108.41406,107.8751,107.83928,108.05786,108.28716,108.338066,108.3853,107.95961,108.18891,108.30957,108.21935,108.121376,107.58241,107.54659,107.51077,107.90825,108.03821,108.08545,108.06498,108.04452,108.02405
217,108.64198,108.62151,108.60105,108.580574,108.41523,107.87743,107.84161,108.05961,108.28832,108.33906,108.38613,107.961365,108.19008,108.3104,108.22034,108.122536,107.58475,107.54893,107.513115,107.9096,108.0392,108.08628,108.06582,108.04534,108.02488
218,110.62284,110.60238,110.5819,110.56144,110.38833,109.82304,109.78722,110.01882,110.26143,110.31619,110.367,109.92058,110.163185,110.29126,110.19747,110.09564,109.53035,109.49453,109.45871,109.878365,110.01634,110.06715,110.04667,110.02621,110.00574
219,108.630226,108.60976,108.58929,108.56882,108.398766,107.844376,107.808556,108.034744,108.27186,108.325035,108.374374,107.9365,108.173615,108.298645,108.20632,108.10607,107.55169,107.51587,107.48006,107.8905,108.02518,108.074524,108.054054,108.033585,108.01312
220,108.629555,108.60909,108.58862,108.56815,108.39782,107.84248,107.806656,108.033325,108.27092,108.324234,108.37371,107.93508,108.172676,108.29798,108.20552,108.10513,107.54979,107.51397,107.47815,107.88942,108.02438,108.07386,108.05339,108.03292,108.01245
221,109.6289,109.60842,109.58796,109.56749,109.39688,108.840576,108.80476,109.0319,109.26999,109.32345,109.37304,108.933655,109.171745,109.29732,109.20473,109.104195,108.54788,108.51206,108.47625,108.888336,109.02358,109.07319,109.05273,109.03226,109.01179
222,109.62823,109.607765,109.58729,109.566826,109.39595,108.83868,108.80286,109.03048,109.26905,109.32265,109.37238,108.932236,109.17081,109.296646,109.20393,109.103264,108.54599,108.51016,108.47435,108.88725,109.0228,109.07253,109.052055,109.03159,109.01112
223,110.62756,110.60709,110.58663,110.566154,110.39501,109.83678,109.80096,110.02905,110.26812,110.32185,110.37171,109.93081,110.16986,110.29599,110.20314,110.102325,109.54409,109.50827,109.47245,109.88616,110.022,110.07186,110.0514,110.03092,110.01046
224,109.6269,109.60643,109.58596,109.5655,109.39407,108.83487,108.79906,109.02763,109.26718,109.32105,109.371056,108.92939,109.16894,109.29532,109.20235,109.101395,108.54218,108.50636,108.47055,108.88507,109.0212,109.0712,109.05073,109.030266,109.009796
225,109.626236,109.60577,109.5853,109.564835,109.39314,108.83298,108.79715,109.02621,109.26624,109.32027,109.37039,108.92796,109.16799,109.294655,109.201546,109.10046,108.54028,108.50446,108.46865,108.88399,109.02042,109.07053,109.050064,109.029594,109.00913
226,110.625565,110.6051,110.58464,110.56416,110.392204,109.83108,109.79526,110.02479,110.26531,110.319466,110.36972,109.92654,110.16707,110.294,110.20075,110.09952,109.53838,109.50256,109.46674,109.8829,110.019615,110.06987,110.04941,110.02893,110.00847
227,110.62491,110.60443,110.58397,110.56351,110.39127,109.82917,109.79336,110.02336,110.26437,110.31867,110.369064,109.92512,110.16612,110.29333,110.19996,110.09859,109.53648,109.500656,109.46484,109.881805,110.01882,110.069214,110.04874,110.028275,110.0078
228,107.7239,107.70344,107.68296,107.6625,104.307655,92.49803,92.46222,98.250496,104.18075,105.88836,107.468056,98.15225,104.082504,107.39232,105.76964,104.01496,92.20534,92.16952,92.133705,102.02242,105.58851,107.168205,107.14773,107.127266,107.1068
229,109.354324,109.333855,109.313385,109.29292,106.59596,97.11341,97.07759,101.71557,106.469055,107.83486,109.09848,101.617325,106.37081,109.02274,107.71615,106.30327,96.820724,96.784904,96.749084,104.67794,107.53501,108.79862,108.77815,108.75769,108.73721
230,108.94551,108.92504,108.90457,108.88411,106.82777,99.608635,99.572815,103.09235,106.700874,107.73389,108.68967,102.9941,106.60263,108.61393,107.61518,106.53508,99.31595,99.28013,99.24431,105.26716,107.43404,108.38981,108.36934,108.34888,108.3284
231,109.5367,109.51622,109.49576,109.475296,108.05958,103.10385,103.06803,105.46914,107.93268,108.63293,109.28085,105.370895,107.834435,109.20512,108.514206,107.766884,102.811165,102.77534,102.739525,106.85637,108.33308,108.98099,108.960526,108.940056,108.919586
232,110.127884,110.10741,110.086945,110.066475,109.29139,106.599075,106.563255,107.845924,109.16449,109.53195,109.872025,107.74767,109.066246,109.7963,109.413246,108.9987,106.30638,106.27056,106.23474,108.44557,109.2321,109.572174,109.55171,109.53124,109.51077
233,110.60564,110.58516,110.5647,110.54422,110.36403,109.773445,109.73762,109.981766,110.23714,110.29558,110.34978,109.88352,110.13888,110.274055,110.17686,110.07134,109.48075,109.44493,109.40911,109.8501,109.99573,110.04993,110.029465,110.00899,109.988525
235,110.58842,110.567955,110.54748,110.527016,110.33974,109.72385,109.68803,109.94471,110.21283,110.27496,110.33257,109.84646,110.114586,110.256836,110.15625,110.04704,109.43116,109.39533,109.35951,109.82183,109.97511,110.03272,110.012245,109.99178,109.971306
